id,name
1,Abkhazia Georgia
2,Afghanistan
3,Albania
4,Algeria
5,American Samoa
6,Andorra
7,Angola
8,Antarctica
9,Antigua Barbuda
10,Argentina
11,Armenia
12,Aruba
13,Australia
14,Austria
15,Azerbaijan
16,Bahamas
17,Bahrain
18,Bangladesh
19,Barbados
20,Belarus
21,Belgium
22,Belize
23,Benin
24,Bermuda
25,Bhutan
26,Bolivia
27,Bosnia and Herzegovina
28,Botswana
29,Brazil
30,British Virgin Islands
31,Brunei
32,Bulgaria
33,Burundi
34,Cambodia
35,Cameroon
36,Canada
37,Cayman Islands
38,Central Africa Republic
39,Chile
40,China
41,Cocos K I
42,Colombia
43,Comoros
44,Congo
45,Cook Islands
46,Costa Rica
47,Crimea
48,Croatia
49,Cura ao
50,Cyprus
51,Czech Republic
52,Democratic Republic of the Congo
53,Denmark
54,Djibouti
55,Dominica
56,Dominican Republic
57,Ecuador
58,Egypt
59,El Salvador
60,Equatorial Guinea
61,Eritrea
62,Estonia
63,Ethiopia
64,Falkland Islands Malvinas
65,Faroe Islands
66,Fiji
67,Finland
68,France
69,French Guiana
70,French Polynesia
71,Gabon
72,Gambia
73,Georgia
74,Germany
75,Ghana
76,Gibraltar
77,Greece
78,Grenada
79,Guadeloupe
80,Guam
81,Guatemala
82,Guernsey
83,Guyana
84,Haiti
85,Honduras
86,Hong Kong
87,Hungary
88,Iceland
89,India
90,Indonesia
91,Iran
92,Iraq
93,Ireland
94,Isle of Man
95,Israel
96,Italy
97,Ivory Coast
98,Jamaica
99,Japan
100,Jersey
101,Jordan
102,Kazakhstan
103,Kenya
104,Kiribati
105,Kosovo
106,Kuwait
107,Kyrgyzstan
108,Laos
109,Latvia
110,Lebanon
111,Lesotho
112,Liberia
113,Libya
114,Liechtenstein
115,Lithuania
116,Luxembourg
117,Macau
118,Macedonia
119,Madagascar
120,Malawi
121,Malaysia
122,Maldives
123,Malta
124,Martinique
125,Mauritania
126,Mauritius
127,Mexico
128,Moldova
129,Monaco
130,Mongolia
131,Montenegro
132,Morocco
133,Mozambique
134,Myanmar
135,Namibia
136,Nepal
137,Netherlands
138,New Caledonia
139,New Zealand
140,Nicaragua
141,Nigeria
142,Norway
143,Oman
144,Pakistan
145,Palestinian Territory
146,Panama
147,Papua New Guinea
148,Paraguay
149,Peru
150,Philippines
151,Poland
152,Portugal
153,Puerto Rico
154,Qatar
155,Reunion
156,Romania
157,Russia
158,Rwanda
159,Saint Barts
160,Saint Kitts and Nevis
161,Saint Lucia
162,Saint Martin
163,Saint Vincent Grenadines
164,Samoa
165,Saudi Arabia
166,Senegal
167,Serbia
168,Seychelles
169,Sierra Leone
170,Singapore
171,Slovakia
172,Slovenia
173,Somalia
174,South Africa
175,South Korea
176,South Sudan
177,Spain
178,Sri Lanka
179,St Maarten
180,Sudan
181,Suriname
182,Swaziland
183,Sweden
184,Switzerland
185,Syria
186,Taiwan
187,Tajikistan
188,Tanzania
189,Thailand
190,Togo
191,Trinidad and Tobago
192,Tunisia
193,Turkey
194,Turkmenistan
195,Turks Caicos Islands
196,U S Virgin Islands
197,Uganda
198,Ukraine
199,United Arab Emirates
200,United Kingdom
201,United States Minor Outlying Islands
202,United States of America
203,Uruguay
204,Uzbekistan
205,Vanuatu
206,Venezuela
207,Vietnam
208,Wallis and Futuna
209,Yemen
210,Zambia
211,Zimbabwe
